label,text
school,"Subject: Course Registration for Fall Semester 2023 Now Open

Dear Students,

The course registration period for the Fall Semester 2023 is now open. Please log in to the student portal to register for your courses. The deadline for registration is August 15, 2023.

Remember to consult with your academic advisor before finalizing your schedule.

For assistance, contact the Registrar's Office at registrar@university.edu.

Best regards, Office of the Registrar"
school,"Subject: Reminder: Scholarship Applications Due Next Week

Dear Students,

This is a reminder that the deadline for submitting scholarship applications for the upcoming academic year is May 1, 2023.

Please ensure all required documents are uploaded to your student account by 11:59 PM on the due date.

For questions, contact the Financial Aid Office at finaid@university.edu.

Good luck with your applications!

Sincerely, Financial Aid Office"
school,"Subject: Upcoming Career Fair - April 15, 2023

Dear Students,

The annual University Career Fair will be held on April 15, 2023, from 10 AM to 4 PM in the Student Union Building.

Over 50 companies from various industries will be present. Don't miss this opportunity to network and explore internship and job opportunities!

Remember to bring copies of your resume and dress professionally.

For more information, visit www.university.edu/careerfair

Best regards, Career Services Center"
school,"Subject: Important: Dormitory Move-Out Procedures

Dear Resident Students,

As the spring semester comes to an end, please note the following move-out procedures:

All rooms must be vacated by May 20, 2023, at 5 PM.
Schedule a room inspection with your RA before leaving.
Return your key to the Housing Office.
Failure to comply may result in additional charges.

For questions, contact housing@university.edu.

Thank you for your cooperation.

Housing Department"
school,"Subject: Extended Library Hours During Finals Week

Dear Students,

To support your exam preparation, the University Library will have extended hours during finals week (May 1-7, 2023):

Monday-Friday: 7 AM - 2 AM Saturday-Sunday: 9 AM - Midnight

Remember to bring your student ID for after-hours access.

Good luck with your exams!

University Library Staff"
school,"Subject: Reminder: Tuition Payment Due for Summer Session

Dear Student,

This is a friendly reminder that tuition payment for the Summer 2023 session is due by June 1, 2023.

Please log in to your student account to view your balance and make a payment. Late payments may incur additional fees.

If you have any questions about your bill or payment options, please contact the Bursar's Office at bursar@university.edu.

Thank you for your prompt attention to this matter.

Sincerely, Bursar's Office"
school,"Subject: Scheduled Maintenance of University Network

Dear University Community,

Please be advised that the IT Department will be performing scheduled maintenance on the university network on Sunday, July 2, 2023, from 2 AM to 6 AM.

During this time, there may be intermittent disruptions to internet connectivity and university online services.

We apologize for any inconvenience this may cause.

For urgent issues during the maintenance period, please call our 24/7 helpdesk at 555-123-4567.

Best regards, IT Services Department"
school,"Subject: Flu Vaccination Clinic Schedule

Dear Students and Staff,

The University Health Center will be offering free flu vaccinations to all students and staff members. The vaccination clinics will be held on the following dates:

October 5, 2023: 9 AM - 4 PM
October 6, 2023: 10 AM - 6 PM
October 7, 2023: 9 AM - 2 PM
Location: Student Union Building, Room 201

No appointment necessary. Please bring your university ID.

Stay healthy this flu season!

University Health Center"
school,"Subject: New Student ID Card Distribution

Dear Incoming Students,

Welcome to our university! Your new student ID cards are now ready for pickup.

Please come to the Student Services Office (Admin Building, Room 105) between 9 AM and 4 PM, Monday through Friday, to collect your ID card.

Remember to bring a government-issued photo ID for verification.

We look forward to meeting you!

Student Services Team"
school,"Subject: Test of Emergency Notification System - Action Required

Dear University Community,

We will be conducting a test of our Emergency Notification System on Thursday, April 20, 2023, at 2 PM.

You will receive a test message via email, text, and phone call. Please respond to confirm receipt of the message.

If you do not receive the test message, please update your contact information in the student/staff portal.

This system is crucial for communicating important safety information. Your participation is greatly appreciated.

Thank you for your cooperation.

Campus Safety Office"
